handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
raveldata,Ravel,1207,72,1,1,168,0,36,234
nemoton,Naoki Nemoto,1762,40266,1,1,1153,18655,97,1156
yutuki_r,豊月,2071,73067,1,1,353,49,157,863
ArnaultJeanson,Arnault Jeanson,1437,1306,0,1,504,55,21,447
avkashchauhan,Avkash Chauhan,1285,2388,1,1,198,103,62,513
KijiProject,Kiji Project,548,220,0,1,696,1,25,418
sr_mueller,Stefan Müller,800,665,1,1,1233,25,37,1047
donaldpminer,Donald Miner,967,987,1,1,339,15,24,436
richardm_,Richard McCreadie,1911,522,0,1,110,3,32,304
sztanko,Dimi,2193,2016,1,1,373,148,10,310
immap99,immap,1184,124,0,1,209,1,11,1517
Hadoop_News,HadoopNews,250,344,1,1,1,0,0,23
Rainstor,RainStor,1869,1260,1,1,984,38,59,3603
timmsc,Sean Timm,1995,373,1,1,244,4,15,216
hadoopRox,jeremy cunningham,953,13,0,1,13,1,0,6
Hyper_Hadoop,붕어,385,3,0,1,0,0,0,2
hadoop_123,hadoop_123,452,5,0,1,6,0,0,10
HadoopMaestro,Hadoop Maestro,766,0,0,0,13,0,0,6
hadoop_experts,Mike Watson,8,2,0,1,5,0,0,1
Hadoop_HK,info,378,0,0,1,10,0,0,4
HadoopLogic,Hadoop Logic,491,0,0,1,3,0,0,9
HadoopRecruiter,Hadoop Recruiter,830,0,0,1,0,0,1,12
bigindians,Indian Hadoopers,826,0,0,1,16,0,1,13
HadoopForFun,Hadoop For Fun,720,6,1,1,6,0,0,8
TT_Hadoop,TweetedTimes: Hadoop,1157,285,0,1,0,0,0,12
onHadoop,onHadoop,703,0,0,1,0,0,0,6
HadoopCloud,Hadoop Cloud,899,14,0,1,10,0,0,23
BigDataHadoop,BigDataHadoop,940,6,0,1,9,0,2,22
KYH0314,KYH,1429,2,1,1,10054,4,72,10979
akiatoji,akiatoji,2187,14175,1,1,92,273,64,422
sunny_Hadoop,sunny,84,0,0,0,10,0,0,3
vincdhhadoop,vincdh hadoop,87,0,0,0,4,0,0,0
6nop,Doug Balog,1310,372,1,1,754,114,15,187
zaloni,zaloni,2036,85,1,1,448,6,17,273
emiliosuarez,Emilio Suarez,2232,3311,1,1,1034,16,25,428
fbru02,Federico Brubacher,2085,1069,0,1,577,57,42,445
jazzyslide,Hideya Kato,2560,7405,1,1,733,15,116,1149
javadance,Andy Park,2237,6637,1,1,1070,2666,51,1063
mdellabitta,Michael Della Bitta,1779,2123,1,1,422,36,10,225
rejohnson,Rob Johnson,2239,2241,1,1,497,159,14,223
benjenkinsiv,Ben Jenkins,1853,784,1,1,1156,4,27,1124
Aggress,Richard Shaw,2058,1943,1,1,352,160,11,213
InfiniDB,InfiniDB,1674,413,1,1,502,15,60,808
rawar,Ramon Wartala,2392,1562,1,1,338,30,18,173
hmuehlburger,Herbert Mühlburger,1706,4080,0,1,1041,26,37,478
cominvent,Cominvent AS,2207,697,1,1,574,15,21,426
Altoros,Altoros,1560,802,1,1,1000,13392,42,1008
AlpineDataLabs,Alpine Data Labs,1114,937,1,1,397,55,72,696
rkmudigonda,Ravi Mudigonda,1491,1451,1,1,1987,7,16,1212
adragomir,Andrei Dragomir,2623,660,1,1,432,182,24,364
davidrichards,David Richards,2350,2437,1,1,112,168,31,3762
wyukawa,wyukawa,2254,22359,0,1,596,1208,105,1157
EndreJofoldi,Endre Jofoldi,1886,1236,0,1,459,6,56,490
Hortonworks_U,Hortonworks_U,862,267,1,1,55,3,26,760
abhishek85gupta,Abhishek Gupta,1899,42,0,1,67,0,17,242
BasicsHadoop,BasicsHadoop,104,7,0,1,15,0,0,6
hadoop180,伍哲沂,395,0,0,1,22,1,0,4
HadoopDog,HadoopDog,421,42,0,1,4,0,0,10
HadoopDemo,Hadoop Demo,574,0,0,1,0,0,0,7
HadoopExpert,HadoopExpert,840,12,0,1,37,0,0,16
HadoopCamp,Gabriel Diaz,80,1,0,1,10,0,0,0
bigdatacamp,BigDataCamp,1444,283,1,1,37,0,46,630
kkuehl,Kirby Kuehl,2165,1081,1,1,274,11,18,285
sqlornot,Marcelo ROCHA,2143,465,1,1,406,11,10,160
sireb,Simon Elliston Ball,1887,2042,0,1,924,21,30,554
