handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
FinRiskAnalytic,Fin Risk Analytics,1384,276,1,1,223,0,4,96
Rev_Analytics,Revenue Analytics,843,401,1,1,248,205,7,220
leananalytics,Lean Analytics,682,206,0,1,82,0,55,1046
GameAnalytics,GameAnalytics.com,1436,549,1,1,704,7,61,1422
QuantAnalytic,Quantum Analytics,509,62,1,1,371,0,23,477
WaveLengthMA,WaveLength Analytics,1715,1042,1,1,768,26,49,1026
mongoosemetrics,Mongoose Metrics,2004,10751,1,1,9791,15,818,13441
analytics_twit,Twit Analytics,1670,4,0,1,891,0,6,297
AnalyticsToday,Analytics Training,1674,1047,1,1,51,3,10,358
SocialAnalytic,SocialMediaAnalytics,1640,1341,0,1,527,0,18,423
MMA_CRM,Marketing Analytics,1261,361,0,1,480,82,14,373
RSAsecanalytics,Security Analytics,589,97,1,1,164,2,19,314
questanalytics,Quest Analytics,1661,89,1,1,1321,1,9,352
DeepRootX,Deep Root Analytics,343,169,0,1,10,1,14,214
WANTEDAnalytics,WANTED Analytics,1953,12344,1,1,2081,18,80,2091
BestOfAnalytics,Best Of Analytics,861,932,0,1,122,0,16,205
Open_Analytics,OpenAnalytics,517,355,1,1,106,140,25,238
tawcon,Text Analytics World,1128,244,0,1,114,0,12,250
HIMSSAnalytics,HIMSS Analytics,1184,808,1,1,95,111,71,2092
wawannounce,Web Analytics Wed,1501,83,0,1,0,0,21,210
timoelliott,Timo Elliott,2102,13684,1,1,763,1195,693,12768
learnanalytics,Learn Analytics,1680,85,1,1,341,0,10,234
SolinkCorp,Contextual Analytics,855,194,1,1,341,5,10,484
social_analysis,Social Analytics,1682,10111,1,1,11401,0,365,10104
ClabbyAnalytics,Joe Clabby,1722,497,0,1,147,0,45,667
AnalyticalDiva,Lady J,2093,5601,1,1,1159,51,100,1716
bevelson,Boris Evelson,1744,4587,0,1,377,4,571,8972
Statr_Analytics,STATR Analytics,64,38,1,1,680,27,0,1411
petro_analytics,Fidan Aliyeva,1084,2499,0,1,862,53,26,657
analyticsuk,IBM Analytics UK,577,148,0,1,158,11,9,207
Dev_Analytics,DevelopmentAnalytics,549,51,0,1,200,6,3,120
Rob_Analytical,Robert Douglas,706,737,1,1,287,4,11,258
CrazyEgg,Crazy Egg,2606,9098,1,1,33507,173,1305,38180
liamanthonym,LiamMordew-Analytics,1845,208,1,1,493,13,5,422
eCommAnalytics,ecommanalytics,1346,178,1,1,635,0,35,324
messoranalytics,Messor Analytics,1198,58,1,1,1883,0,13,710
OctantAnalytics,Octant Analytics,611,235,1,1,837,0,12,284
B2BWebAnalytics,B2B Web Analytics,1899,116,1,1,20,0,8,310
croanalytics,CRO Analytics,660,308,1,1,1999,14,11,433
quiterian,BIRT Analytics,1556,420,1,1,210,5,27,329
squizanalytics,Squiz Analytics,1424,22,1,1,10,0,14,116
Mozzorazzi,Mozzo Analytics,768,220,1,1,1144,4,13,304
openwebanalytic,Open Web Analytics,1610,61,0,1,1,0,19,173
ElsevierChemist,Analytical Chemistry,1340,2104,1,1,985,0,77,2483
DirtyAnalytics,Jake Peterson,1895,741,1,1,277,895,39,1143
GeoAnalytics,GeoAnalytics,1956,32,1,1,371,0,97,957
AnalyticsDNA,AnalyticsDNA,1169,27,0,1,4,0,8,71
AnalyticalChmst,Analytical Chemistry,540,47,0,1,850,0,3,371
PMAnalytics,"PM Analytics, LLC",1735,126,1,1,367,0,9,144
KaizenAnalytics,Kaizen Analytics,1818,86,1,1,14,0,4,157
AlightAnalytics,Alight Analytics ,868,223,1,1,271,26,14,267
usujason,jason thompson,2276,33107,1,1,470,352,156,2089
ugadajka, Analytic ,975,10945,0,1,1598,2735,61,1835
AnalyticsProf,Jay Coleman,695,152,1,1,276,3,2,116
AnalyticAllstar,Analytics Allstar,743,267,1,1,1618,0,9,309
AnalyticsNut,Skye van den Oever,1796,591,1,1,760,5,8,363
EpiAnalytics,EpiAnalytics,1834,179,1,1,1564,1,9,281
Curalate,Curalate,1091,3345,1,1,22510,15184,1153,35910
mvolpe,Mike Volpe,2391,16921,1,1,158,592,3823,57411
surveyanalytics,Survey Analytics,1674,3299,1,1,2126,1203,89,2505
ScoutAnalytics,Scout,1679,1132,1,1,22,29,54,597
MADlib_analytic,MADlib,735,28,0,1,42,4,10,91
jamet123,James Taylor,2401,7414,1,1,939,2,403,5185
AnalytecAlchemy,Analytic Alchemy,649,8437,0,1,297,0,12,305
CetasAnalytics,Pivotal Analytics,1008,2039,1,1,2096,522,52,1092
Bellwether2014,Bellwether Analytics,911,153,1,1,528,10,2,132
WAWSingapore,Web Analytics Wed SG,1695,28,1,1,76,0,18,166
